HCPCS_CPT_CODE|MODIFIER|FEE
15789||368.21
15820||1100.39
15821||1100.39
15822||1100.39
15823||1100.39
15824||1100.39
15825||2195.34
15826||2195.34
15828||2195.34
15829||2195.34
15830||3008.58
15832||1348.05
15833||1348.05
15834||1348.05
15835||1348.05
15836||1348.05
15837||1348.05
15838||1348.05
15839||1348.05
15840||2195.34
15841||2195.34
15842||1100.39
15845||2195.34
15851||17.42
15876||2195.34
15877||2195.34
15878||1100.39
15879||2195.34
15920||1348.05
15922||2195.34
15931||1348.05
15933||1348.05
15934||2195.34
15935||2195.34
15936||1100.39
15937||1100.39
15940||1348.05
15941||1348.05
15944||2195.34
15945||1100.39
15946||1100.39
15950||794.41
15951||1348.05
15952||1100.39
15953||2195.34
15956||1100.39
15958||2195.34
16025||119.75
16030||240.46
16035||240.46
17004||125.89
17106||228.93
17107||299.31
17108||390.37
17264||146.21
17266||161.08
17270||108.48
17271||119.75
17273||144.39
17274||161.44
17276||178.86
17281||119.75
17282||119.75
17283||157.82
17284||173.42
17286||209.34
17311||368.21
17313||368.21
17380||368.21
19000||70.75
19020||794.41
19081||794.41
19083||794.41
19085||794.41
19100||794.41
19101||1725.08
19105||2722.16
19110||1725.08
19112||1725.08
19120||1725.08
19125||1725.08
19296||5019.25
19298||4834.7
19300||1725.08
19301||1725.08
19302||3008.58
19303||3008.58
19307||3008.58
19316||3008.58
19318||3008.58
19325||3560.41
19328||1725.08
19330||1725.08
19340||3008.58
19342||3560.41
19350||1725.08
19355||1725.08
19357||5963.93
19370||1725.08
19371||1725.08
19380||3008.58
19396||1725.08
20103||794.41
20150||1771.19
20200||794.41
20205||1348.05
20206||794.41
20220||794.41
20225||794.41
20240||1348.05
20245||1348.05
20250||1771.19
20251||3937.76
20500||85.25
20520||158.54
20525||1348.05
20526||50.8
20527||53.69
20550||32.65
20551||32.65
20552||30.47
20553||35.55
20555||1771.19
20600||31.92
20604||54.06
20605||32.29
20606||56.95
20610||37.73
20611||62.41
20612||42.45
20615||175.6
20650||1771.19
20662||940.23
20663||1771.19
20665||237.47
20670||794.41
20680||1348.05
20690||5523.7
20692||9443.89
20693||3937.76
20694||940.23
20696||16661.22
20697||940.23
20822||940.23
20900||5412.93
20902||3937.76
20910||368.21
20912||2195.34
20920||1100.39
20922||1100.39
20924||3937.76
20950||423.52
20972||3937.76
20973||3937.76
20982||7439.86
20983||5508.41
21010||1564.02
21011||282.26
21012||794.41
21013||352.27
21014||1348.05
21015||1348.05
21016||1348.05
21025||3272.1
21026||3272.1
21029||1564.02
21030||307.65
21031||284.44
21032||275.36
21034||3272.1
21040||1564.02
21044||3272.1
21046||3272.1
21047||3272.1
21048||3272.1
21050||3272.1
21060||3272.1
21070||3272.1
21073||306.93
21076||434.63
21077||1011.48
21079||734.67
21080||847.49
21081||789.09
21082||769.86
21083||748.45
21084||833.71
21085||139.22
21086||755.34
21087||755.34
21088||1564.02
21100||3272.1
21110||687.14
21120||3272.1
21121||2406.45
21122||4147.27
21123||1564.02
21125||4147.27
21127||3272.1
21137||1564.02
21138||3272.1
21139||3272.1
21150||4147.27
21181||3272.1
21194||3272.1
21195||4384.97
21198||3272.1
21199||3272.1
21206||3272.1
21208||4194.97
21209||3272.1
21210||4464.02
21215||4324.56
21230||3272.1
21235||3272.1
21240||3272.1
21242||3272.1
21243||15612.1
21244||4634.82
21245||4736.46
21246||3272.1
21248||3272.1
21249||3272.1
21260||3272.1
21267||5500.11
21270||4460.64
21275||4158.28
21280||1564.02
21282||1564.02
21295||737.32
21296||1564.02
21315||737.32
21320||1564.02
21325||1564.02
21330||3272.1
21335||1564.02
21336||1771.19
21337||1564.02
21338||3272.1
21339||3272.1
21340||1564.02
21345||737.32
21355||1564.02
21356||3272.1
21360||3272.1
21365||3272.1
21390||3272.1
21400||306.24
21401||737.32
21406||3272.1
21407||3272.1
21421||1564.02
21440||675.9
21445||3272.1
21450||306.24
21451||737.32
21452||4190.17
21453||3272.1
21454||4209.66
21461||4339.53
21462||4154.61
21465||4177.48
21480||144.61
21485||737.32
21490||1564.02
21497||737.32
21501||1348.05
21502||1771.19
21550||794.41
21552||1348.05
21554||1348.05
21555||794.41
21556||1348.05
21557||1348.05
21558||1348.05
21600||3937.76
21610||1771.19
21685||4180.58
21700||3937.76
21720||1771.19
21725||423.52
21820||144.61
21920||188.29
21925||794.41
21930||794.41
21931||794.41
21932||1348.05
21933||1348.05
21935||1348.05
21936||1348.05
22102||3937.76
22310||144.61
22315||1771.19
22505||940.23
22510||1771.19
22511||1771.19
22513||3937.76
22514||3937.76
22551||10171.81
22554||10067.83
22612||15743.47
22856||15708.32
22867||15804.53
22869||12200.24
22900||1348.05
22901||1348.05
22902||794.41
