SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
J3301|||||0.87|||||
J3304|||||18.007|||||
J3315|||||471.625|||||
J3316|||||3506.041|||||
J3358|||||12.808|||||
J3360|||||5.787|||||
J3370|||||1.949|||||
J3371|||||6.309|||||
J3372|||||6.544|||||
J3380|||||21.162|||||
J3385|||||374.36|||||
J3396|||||11.519|||||
J3401|||||1016.669|||||
J3410|||||17.76|||||
J3411|||||1.757|||||
J3415|||||12.569|||||
J3420|||||0.665|||||
J3425|||||0.008|||||
J3430|||||2.445|||||
J3465|||||1.061|||||
J3470|||||32.168|||||
J3471|||||0.499|||||
J3473|||||0.364|||||
J3475|||||0.494|||||
J3480|||||0.207|||||
J3485|||||1.513|||||
J3486|||||5.183|||||
J3489|||||9.523|||||
J7030|||||2.469|||||
J7040|||||1.235|||||
J7042|||||1.254|||||
J7050|||||0.618|||||
J7060|||||1.82|||||
J7070|||||3.641|||||
J7120|||||2.303|||||
J7170|||||51.984|||||
J7171|||||34.516|||||
J7175|||||9.533|||||
J7177|||||1.101|||||
J7178|||||1.484|||||
J7179|||||1.831|||||
J7180|||||10.477|||||
J7181|||||17.336|||||
J7182|||||1.397|||||
J7183|||||1.279|||||
J7185|||||1.49|||||
J7186|||||1.198|||||
J7187|||||1.446|||||
J7188|||||3.229|||||
J7189|||||2.526|||||
J7190|||||1.116|||||
J7192|||||1.558|||||
J7193|||||1.377|||||
J7194|||||1.656|||||
J7195|||||1.848|||||
J7197|||||3.943|||||
J7198|||||2.397|||||
J7200|||||1.632|||||
J7201|||||3.545|||||
J7202|||||5.183|||||
J7203|||||4.32|||||
J7204|||||2.138|||||
J7205|||||2.32|||||
J7207|||||2.102|||||
J7208|||||2.45|||||
J7209|||||1.193|||||
J7210|||||1.514|||||
J7211|||||1.486|||||
J7212|||||2.385|||||
J7213|||||1.923|||||
J7214|||||4.596|||||
J7308|||||394.413|||||
J7311|||||340.036|||||
J7312|||||205.236|||||
J7313|||||490.765|||||
J7314|||||524.568|||||
J7318|||||6.931|||||
J7320|||||6.314|||||
J7321|||||73.96|||||
J7322|||||17.503|||||
J7323|||||128.709|||||
J7324|||||125.299|||||
J7325|||||9.252|||||
J7326|||||538.48|||||
J7327|||||663.641|||||
J7328|||||0.592|||||
J7329|||||5.586|||||
J7331|||||8.431|||||
J7332|||||10.281|||||
J7336|||||3.377|||||
J7340|||||235.772|||||
J7345|||||1.783|||||
J7351|||||209.907|||||
J7354|||||682.257|||||
J7355|||||194.411|||||
J7402|||||11.345|||||
J7500|||||1.014|||||
J7502|||||2.023|||||
J7503|||||1.805|||||
J7504|||||4376.29|||||
J7507|||||0.194|||||
J7508|||||0.569|||||
J7509|||||0.243|||||
J7510|||||0.483|||||
J7511|||||939.346|||||
J7512|||||0.004|||||
J7515|||||0.742|||||
J7516|||||71.401|||||
J7517|||||0.154|||||
J7518|||||0.379|||||
J7519|||||0.305|||||
J7520|||||1.144|||||
J7521|||||1.334|||||
J7525|||||255.058|||||
J7527|||||2.018|||||
J7601|||||52.117|||||
J7605|||||0.686|||||
J7606|||||1.699|||||
J7608|||||8.437|||||
J7611|||||0.176|||||
J7612|||||0.283|||||
J7613|||||0.077|||||
