HCPCS	EFF_DATE	RATE
80414	20250101	51.64
80415	20250101	55.89
80416	20250101	209.32
80417	20250101	43.99
80418	20250101	579.48
80420	20250101	161.88
80422	20250101	46.07
80424	20250101	50.5
80426	20250101	148.41
80428	20250101	66.7
80430	20250101	129.33
80432	20250101	165.61
80434	20250101	285.03
80435	20250101	103.0
80436	20250101	91.16
80438	20250101	50.41
80439	20250101	67.21
81000	20250101	4.02
81001	20250101	3.17
81002	20250101	3.48
81003	20250101	2.25
81003	20250101	2.25
81005	20250101	2.17
81007	20250101	29.98
81007	20250101	29.98
81015	20250101	3.05
81020	20250101	4.7
81025	20250101	8.61
81050	20250101	3.64
81105	20250101	122.22
81106	20250101	122.22
81107	20250101	122.22
81108	20250101	122.22
81109	20250101	122.22
81110	20250101	122.22
81111	20250101	122.22
81112	20250101	122.22
81120	20250101	193.25
81121	20250101	295.79
81161	20250101	279.0
81162	20250101	1824.88
81163	20250101	468.0
81164	20250101	584.23
81165	20250101	282.88
81166	20250101	301.35
81167	20250101	282.88
81168	20250101	207.31
81170	20250101	300.0
81171	20250101	137.0
81172	20250101	274.83
81173	20250101	301.35
81174	20250101	185.2
81175	20250101	676.5
81176	20250101	241.9
81177	20250101	137.0
81178	20250101	137.0
81179	20250101	137.0
81180	20250101	137.0
81181	20250101	137.0
81182	20250101	137.0
81183	20250101	137.0
81184	20250101	137.0
81185	20250101	846.27
81186	20250101	185.2
81187	20250101	137.0
81188	20250101	137.0
81189	20250101	274.83
81190	20250101	185.2
81191	20250101	207.31
81192	20250101	207.31
81193	20250101	207.31
81194	20250101	518.28
81195	20250101	1263.53
81200	20250101	47.25
81201	20250101	780.0
81202	20250101	280.0
81203	20250101	200.0
81204	20250101	137.0
81205	20250101	94.99
81206	20250101	163.96
81207	20250101	144.84
81208	20250101	214.62
81209	20250101	39.31
81210	20250101	175.4
81212	20250101	440.0
81215	20250101	375.25
81216	20250101	185.12
81217	20250101	375.25
81218	20250101	241.9
81219	20250101	121.63
81220	20250101	556.6
81221	20250101	97.22
81222	20250101	435.07
81223	20250101	499.0
81224	20250101	168.75
81225	20250101	291.36
81226	20250101	450.91
81227	20250101	174.81
81228	20250101	900.0
81229	20250101	1160.0
81230	20250101	174.81
81231	20250101	174.81
81232	20250101	174.81
81233	20250101	175.4
81234	20250101	137.0
81235	20250101	324.58
81236	20250101	282.88
81237	20250101	175.4
81238	20250101	600.0
81239	20250101	274.83
81240	20250101	65.69
81241	20250101	73.37
81242	20250101	36.62
81243	20250101	57.04
81244	20250101	44.89
81245	20250101	165.51
81246	20250101	83.0
81247	20250101	174.81
81248	20250101	375.25
81249	20250101	600.0
81250	20250101	58.49
81251	20250101	47.25
81252	20250101	101.12
81253	20250101	61.52
81254	20250101	35.0
81255	20250101	51.45
81256	20250101	65.36
81257	20250101	102.26
81258	20250101	375.25
81259	20250101	600.0
81260	20250101	39.31
81261	20250101	197.99
81262	20250101	68.55
81263	20250101	294.52
81264	20250101	172.73
81265	20250101	233.07
81266	20250101	304.81
81267	20250101	207.46
81268	20250101	260.79
81269	20250101	202.4
81270	20250101	91.66
81271	20250101	137.0
81272	20250101	329.51
81273	20250101	124.87
81274	20250101	274.83
81275	20250101	193.25
81276	20250101	193.25
81277	20250101	1160.0
81278	20250101	207.31
81279	20250101	185.2
81283	20250101	73.37
81284	20250101	137.0
81285	20250101	274.83
81286	20250101	274.83
81287	20250101	124.64
81288	20250101	192.32
81289	20250101	185.2
81290	20250101	39.31
81291	20250101	65.34
81292	20250101	675.4
81293	20250101	331.0
81294	20250101	202.4
81295	20250101	381.7
81296	20250101	337.73
81297	20250101	213.3
81298	20250101	641.85
81299	20250101	308.0
81300	20250101	238.0
81301	20250101	348.56
81302	20250101	527.87
81303	20250101	120.0
81304	20250101	150.0
81305	20250101	175.4
81306	20250101	291.36
81307	20250101	676.5
81308	20250101	301.35
81309	20250101	274.83
81310	20250101	246.52
81311	20250101	295.79
81312	20250101	137.0
81313	20250101	255.05
81314	20250101	329.51
81315	20250101	207.31
81316	20250101	207.31
81317	20250101	676.5
81318	20250101	331.0
81319	20250101	203.5
81320	20250101	291.36
81321	20250101	600.0
81322	20250101	46.6
81323	20250101	300.0
81324	20250101	758.36
81325	20250101	769.58
81326	20250101	46.6
81327	20250101	192.0
81328	20250101	174.81
81329	20250101	137.0
81330	20250101	47.0
81331	20250101	51.07
81332	20250101	43.65
81333	20250101	137.0
81334	20250101	329.51
81335	20250101	174.81
81336	20250101	301.35
81337	20250101	185.2
81338	20250101	150.33
81339	20250101	185.2
81340	20250101	208.92
81341	20250101	49.59
81342	20250101	201.5
81343	20250101	137.0
81344	20250101	137.0
81345	20250101	185.2
81346	20250101	174.81
81347	20250101	193.25
81348	20250101	175.4
81349	20250101	1197.94
81350	20250101	234.0
81351	20250101	641.85
81352	20250101	329.51
81353	20250101	308.0
81355	20250101	88.2
81357	20250101	193.25
81360	20250101	193.25
81361	20250101	174.81
81362	20250101	375.25
81363	20250101	202.4
81364	20250101	324.58
81370	20250101	402.12
81371	20250101	404.52
81372	20250101	403.59
81373	20250101	127.43
81374	20250101	74.33
81375	20250101	220.74
81376	20250101	122.22
81377	20250101	94.74
81378	20250101	345.57
81379	20250101	335.38
81380	20250101	177.25
81381	20250101	169.9
81382	20250101	123.68
81383	20250101	109.13
81400	20250101	63.96
81401	20250101	137.0
81402	20250101	150.33
81403	20250101	185.2
81404	20250101	274.83
81405	20250101	301.35
81406	20250101	282.88
81407	20250101	846.27
81408	20250101	2000.0
81410	20250101	504.0
81411	20250101	1350.19
81412	20250101	2448.56
81413	20250101	584.9
81414	20250101	584.9
81415	20250101	4780.0
81416	20250101	12000.0
81417	20250101	320.0
81418	20250101	917.08
81419	20250101	2448.56
81420	20250101	759.05
81422	20250101	759.05
81425	20250101	5031.2
81426	20250101	2709.95
81427	20250101	2337.65
81430	20250101	1625.0
81431	20250101	679.57
81432	20250101	1303.95
81433	20250101	438.93
81434	20250101	597.91
81435	20250101	1303.95
81436	20250101	584.9
81437	20250101	1303.95
81438	20250101	438.93
81439	20250101	584.9
81440	20250101	3324.0
81441	20250101	2448.56
81442	20250101	2143.6
81443	20250101	2448.56
81445	20250101	597.91
81448	20250101	584.9
81449	20250101	597.91
81450	20250101	759.53
81451	20250101	759.53
81455	20250101	2919.6
81456	20250101	2919.6
81457	20250101	896.87
81458	20250101	1046.35
81459	20250101	2989.55
81460	20250101	1287.0
81462	20250101	1195.83
81463	20250101	1345.31
81464	20250101	3288.51
81465	20250101	936.0
81470	20250101	914.0
81471	20250101	914.0
81490	20250101	840.65
81493	20250101	1050.0
81500	20250101	260.5
81503	20250101	897.0
81504	20250101	520.0
81506	20250101	68.92
81507	20250101	795.0
81508	20250101	54.3
81509	20250101	1487.37
81510	20250101	55.54
81511	20250101	153.5
81512	20250101	69.52
81513	20250101	142.63
81514	20250101	262.99
81515	20250101	262.99
81515	20250101	262.99
81517	20250101	176.19
81518	20250101	3873.0
81519	20250101	3873.0
81520	20250101	2510.21
81521	20250101	3873.0
81522	20250101	3873.0
81523	20250101	3873.0
81525	20250101	3116.0
81528	20250101	508.87
81529	20250101	7193.0
81535	20250101	579.46
81536	20250101	177.56
81538	20250101	2871.0
81539	20250101	760.0
81540	20250101	3750.0
81541	20250101	3873.0
81542	20250101	3873.0
81546	20250101	3600.0
