SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
A6402|||||0.15|10/1/24||||
A6403|||||0.56|10/1/24||||
A6407|||||2.55|10/1/24||||
A6410|||||0.51|10/1/24||||
A6411|||||0.0|10/1/24||||
A6441|||||0.93|10/1/24||||
A6442|||||0.22|10/1/24||||
A6443|||||0.38|10/1/24||||
A6444|||||0.76|10/1/24||||
A6445|||||0.43|10/1/24||||
A6446|||||0.53|10/1/24||||
A6447|||||0.93|10/1/24||||
A6448|||||1.57|10/1/24||||
A6449|||||2.39|10/1/24||||
A6450|||||2.39|10/1/24||||
A6451|||||2.39|10/1/24||||
A6452|||||8.05|10/1/24||||
A6453|||||0.86|10/1/24||||
A6454|||||1.07|10/1/24||||
A6455|||||1.9|10/1/24||||
A6456|||||1.71|10/1/24||||
A6457|||||1.55|10/1/24||||
A6501|||||0.0|10/1/24||||
A6502|||||0.0|10/1/24||||
A6503|||||0.0|10/1/24||||
A6504|||||0.0|10/1/24||||
A6505|||||0.0|10/1/24||||
A6506|||||0.0|10/1/24||||
A6507|||||0.0|10/1/24||||
A6508|||||0.0|10/1/24||||
A6509|||||0.0|10/1/24||||
A6510|||||0.0|10/1/24||||
A6511|||||0.0|10/1/24||||
A6513|||||0.0|10/1/24||||
A6520|||||119.54|10/1/24||||
A6521|||||474.33|10/1/24||||
A6522|||||290.47|10/1/24||||
A6523|||||689.17|10/1/24||||
A6524|||||362.39|10/1/24||||
A6525|||||731.6|10/1/24||||
A6526|||||655.18|10/1/24||||
A6527|||||1204.8|10/1/24||||
A6528|||||630.0|10/1/24||||
A6529|||||995.5|10/1/24||||
A6530|||||36.93|10/1/24||||
A6531|AW||||59.03|10/1/24||||
A6532|AW||||83.18|10/1/24||||
A6533|||||51.86|10/1/24||||
A6534|||||59.22|10/1/24||||
A6535|||||68.18|10/1/24||||
A6536|||||69.91|10/1/24||||
A6537|||||82.88|10/1/24||||
A6538|||||97.04|10/1/24||||
A6539|||||92.51|10/1/24||||
A6540|||||110.3|10/1/24||||
A6541|||||130.66|10/1/24||||
A6545|AW||||116.24|10/1/24||||
A6550|||||29.6|10/1/24||||
A6552|||||54.81|10/1/24||||
A6553|||||214.01|10/1/24||||
A6554|||||75.36|10/1/24||||
A6555|||||214.01|10/1/24||||
A6556|||||293.29|10/1/24||||
A6557|||||293.29|10/1/24||||
A6558|||||302.67|10/1/24||||
A6562|||||959.88|10/1/24||||
A6563|||||959.88|10/1/24||||
A6564|||||1034.0|10/1/24||||
A6565|||||165.86|10/1/24||||
A6566|||||240.83|10/1/24||||
A6567|||||756.68|10/1/24||||
A6568|||||157.17|10/1/24||||
A6569|||||895.0|10/1/24||||
A6570|||||107.09|10/1/24||||
A6571|||||643.63|10/1/24||||
A6572|||||99.37|10/1/24||||
A6573|||||235.8|10/1/24||||
A6574|||||300.61|10/1/24||||
A6575|||||97.42|10/1/24||||
A6576|||||184.5|10/1/24||||
A6577|||||152.7|10/1/24||||
A6578|||||75.2|10/1/24||||
A6579|||||296.14|10/1/24||||
A6580|||||293.96|10/1/24||||
A6581|||||69.0|10/1/24||||
A6582|||||46.02|10/1/24||||
A6583|||||151.38|10/1/24||||
A6585|||||179.24|10/1/24||||
A6586|||||528.06|10/1/24||||
A6587|||||69.17|10/1/24||||
A6588|||||230.54|10/1/24||||
A6589|||||91.01|10/1/24||||
A6590|||||427.2|10/1/24||||
A6591|||||86.78|10/1/24||||
