SVC_CD|MODIFIER_1|MODIFIER_2|MODIFIER_3|MODIFIER_4|FEE|AS_OF_DATE|AGE_UNIT|FROM_AGE|THROUGH_AGE|PLACE_OF_SERVICE_CODE
E0266|RR||||155.9|1/1/25||||
E0271|NU||||142.84|1/1/25||||
E0271|RR||||14.29|1/1/25||||
E0271|UE||||107.13|1/1/25||||
E0272|NU||||161.32|1/1/25||||
E0272|RR||||16.13|1/1/25||||
E0272|UE||||120.99|1/1/25||||
E0275|NU||||16.54|1/1/25||||
E0275|RR||||1.65|1/1/25||||
E0275|UE||||12.41|1/1/25||||
E0276|NU||||14.13|1/1/25||||
E0276|RR||||1.41|1/1/25||||
E0276|UE||||10.6|1/1/25||||
E0277|RR||||180.68|1/1/25||||
E0280|NU||||37.52|1/1/25||||
E0280|RR||||3.75|1/1/25||||
E0280|UE||||28.15|1/1/25||||
E0290|RR||||64.33|1/1/25||||
E0291|RR||||50.69|1/1/25||||
E0292|RR||||70.27|1/1/25||||
E0293|RR||||64.62|1/1/25||||
E0294|RR||||72.69|1/1/25||||
E0295|RR||||72.69|1/1/25||||
E0296|RR||||139.79|1/1/25||||
E0297|RR||||123.36|1/1/25||||
E0300|RR||||311.5|1/1/25||||
E0301|RR||||183.32|1/1/25||||
E0302|RR||||555.15|1/1/25||||
E0303|RR||||184.37|1/1/25||||
E0304|RR||||558.19|1/1/25||||
E0305|RR||||12.44|1/1/25||||
E0310|NU||||126.35|1/1/25||||
E0310|RR||||12.64|1/1/25||||
E0310|UE||||94.76|1/1/25||||
E0316|RR||||244.67|1/1/25||||
E0325|NU||||10.19|1/1/25||||
E0325|RR||||1.02|1/1/25||||
E0325|UE||||7.64|1/1/25||||
E0326|NU||||12.11|1/1/25||||
E0326|RR||||1.21|1/1/25||||
E0326|UE||||9.08|1/1/25||||
E0371|RR||||180.68|1/1/25||||
E0372|RR||||180.68|1/1/25||||
E0373|RR||||180.68|1/1/25||||
E0424|RR||||92.08|1/1/25||||
E0424|RR|QB|||92.08|1/1/25||||
E0424|RR|QF|||92.08|1/1/25||||
E0431|RR||||21.3|1/1/25||||
E0431|RR|QB|||46.04|1/1/25||||
E0431|RR|QF|||46.04|1/1/25||||
E0433|RR||||46.93|1/1/25||||
E0433|RR|QB|||46.93|1/1/25||||
E0433|RR|QF|||46.93|1/1/25||||
E0434|RR||||46.93|1/1/25||||
E0434|RR|QB|||46.93|1/1/25||||
E0434|RR|QF|||46.93|1/1/25||||
E0439|RR||||92.08|1/1/25||||
E0439|RR|QB|||92.08|1/1/25||||
E0439|RR|QF|||92.08|1/1/25||||
E0441|||||67.06|1/1/25||||
E0442|||||67.06|1/1/25||||
E0443|||||58.08|1/1/25||||
E0444|||||58.08|1/1/25||||
E0447|||||87.12|1/1/25||||
E0462|RR||||407.16|1/1/25||||
E0465|RR||||1133.61|1/1/25||||
E0466|RR||||1133.61|1/1/25||||
E0467|RR||||1354.69|1/1/25||||
E0468|RR||||1229.0|1/1/25||||
E0469|RR||||1534.1|1/1/25||||
E0470|RR||||129.46|1/1/25||||
E0471|RR||||321.05|1/1/25||||
E0472|RR||||533.03|1/1/25||||
E0480|RR||||60.34|1/1/25||||
E0482|RR||||572.36|1/1/25||||
E0483|RR||||1485.41|1/1/25||||
E0484|NU||||51.61|1/1/25||||
E0484|RR||||5.16|1/1/25||||
E0484|UE||||38.71|1/1/25||||
E0485|NU||||0.0|1/1/25||||
E0485|RR||||0.0|1/1/25||||
E0485|UE||||0.0|1/1/25||||
E0486|NU||||0.0|1/1/25||||
E0486|RR||||0.0|1/1/25||||
E0486|UE||||0.0|1/1/25||||
E0490|RR||||106.32|1/1/25||||
E0491|||||103.3|1/1/25||||
E0500|RR||||153.36|1/1/25||||
