SVC_CD|MODIFIER_1|FEE
23515||544.17
23520||256.33
23525||204.53
23530||605.06
23532||702.24
23540||275.56
23545||189.04
23550||685.69
23552||769.0
23570||137.4
23575||232.83
23585||725.75
23600||197.56
23605||309.73
23615||725.75
23616||1683.25
23620||328.97
23625||302.26
23630||695.3
23650||201.2
23655||210.41
23660||685.69
23665||279.29
23670||725.75
23675||341.24
23680||846.97
23700||138.32
23800||1209.57
23802||1209.57
23900||1451.48
23920||1088.88
23921||483.82
23930||232.83
23931||163.41
23935||777.55
24000||534.03
24006||579.96
24065||174.62
24066||315.61
24075||483.82
24076||483.82
24100||534.03
24101||575.15
24102||747.64
24105||290.51
24110||574.61
24115||756.19
24116||756.19
24120||483.82
24125||605.06
24126||605.06
24130||483.82
24134||1116.65
24136||690.49
24138||755.64
24140||589.57
24145||436.3
24147||427.22
24149||1167.39
24150||1306.77
24152||904.65
24155||968.72
24160||399.45
24164||307.06
24200||158.6
24201||550.05
24220||293.18
24301||879.55
24305||399.45
24310||324.69
24320||960.72
24330||483.82
24331||483.82
24340||747.64
24341||645.11
24342||900.37
24360||1014.65
24361||1227.73
24365||771.13
24366||665.4
24370||1843.99
24371||2121.16
24400||725.75
24410||846.97
24420||1052.56
24430||1028.01
24435||1209.57
24470||423.48
24495||832.55
24498||1099.02
24500||253.75
24505||386.1
24515||665.4
24516||807.45
24530||285.42
24535||431.5
24538||605.06
24545||605.06
24546||948.97
24560||238.1
24565||372.76
24566||457.66
24575||544.17
24576||434.69
24577||386.1
24579||544.17
24582||500.39
24586||1197.82
24587||1261.9
24600||318.05
24605||248.32
24615||725.75
24620||328.42
24635||826.14
24640||162.88
24650||214.17
24655||331.63
24665||483.82
24666||665.4
24670||221.67
24675||343.91
24685||483.82
24800||931.34
24802||967.66
24900||605.06
24920||544.17
24925||374.88
24930||605.06
24931||804.24
24935||1363.37
25000||265.95
25020||714.53
25023||696.37
25024||829.34
25025||1336.67
25028||653.66
25031||587.96
25035||519.61
25040||378.62
25065||111.08
25066||272.35
25071||503.59
25073||630.15
25075||471.01
25076||246.37
25077||1068.58
25085||483.82
25100||302.26
25101||411.2
25105||483.82
25107||453.39
25110||272.89
25111||302.26
25112||302.26
25115||605.06
25116||605.06
25118||534.03
25119||605.06
25120||456.05
25125||605.06
25126||605.06
25130||302.26
25135||423.48
25136||423.48
25145||865.13
25150||430.97
25151||506.79
25170||1287.0
25210||423.48
25215||605.06
25230||302.26
25240||363.13
25246||261.13
25248||668.07
25250||423.48
25251||557.52
25260||536.16
25263||566.6
25265||804.24
25270||466.74
25272||506.26
25274||574.08
25280||500.39
25290||488.1
25295||479.02
25300||483.82
25301||483.82
25310||574.61
25312||616.26
25315||725.75
25316||1645.87
25320||992.22
25332||1115.05
25335||1183.94
25337||569.27
25350||605.06
25355||725.75
25360||605.06
25365||846.97
25370||725.75
25375||1088.88
25390||665.4
25391||834.68
25392||931.34
25393||1052.56
25400||846.97
25405||1028.01
25415||1209.57
25420||1391.14
25425||886.49
25426||1052.56
25440||846.97
25441||1211.18
25442||553.25
25443||580.49
25444||580.49
25445||580.49
25446||1433.32
25447||958.05
25449||1425.32
25450||493.45
25455||515.87
25490||1179.66
25491||1189.28
25492||1411.97
25500||212.38
25505||361.0
25515||483.82
25520||464.6
25525||903.57
25526||960.72
25530||204.4
25535||354.6
25545||483.82
25560||213.68
25565||381.29
25574||689.43
25575||725.75
25600||225.75
25605||389.31
25622||224.3
25624||338.58
25628||795.16
25630||234.74
25635||330.56
25645||380.23
25650||445.91
25660||240.85
25670||483.82
25675||329.5
25676||483.82
25680||363.13
25685||725.75
25690||332.69
25695||501.98
25800||725.75
25805||1033.87
25810||965.52
25820||725.75
25825||871.53
25830||599.71
25900||544.17
25905||563.93
25907||526.55
25909||552.72
25915||1692.33
25920||483.82
25922||393.04
25924||483.82
25927||605.06
25929||382.9
25931||605.06
26010||150.07
26011||203.47
26020||367.41
26025||373.29
26030||777.01
26034||455.52
26035||1173.8
26037||445.38
26040||325.22
26045||414.94
26055||302.26
26060||226.43
26070||322.02
26075||336.97
26080||362.07
26100||302.26
26105||346.58
26110||327.36
26115||255.27
26116||411.73
26117||985.28
26118||1259.78
26121||503.59
26123||605.06
26125||302.26
26130||605.06
26135||515.87
26140||473.15
26145||605.06
26160||235.5
26170||300.12
26180||317.22
26185||406.39
26200||414.4
26205||497.71
26210||410.14
26215||477.43
26230||427.22
26235||409.06
26236||381.29
26250||725.75
26260||605.06
26262||605.06
26320||423.48
26340||328.97
26341||91.07
26350||539.91
26352||834.68
26356||621.61
26357||633.36
26358||858.72
26370||582.09
26372||834.68
26373||606.65
26390||569.27
26392||774.35
26410||428.28
26412||504.65
26415||1016.26
26416||806.92
26418||420.28
26420||572.48
26426||484.9
26428||665.4
26432||359.4
26433||727.34
26434||435.77
26437||795.16
26440||488.1
26442||607.73
26445||464.6
26449||1027.48
26450||261.13
26455||302.26
26460||246.72
26471||423.48
26474||411.2
26476||483.82
26477||483.82
26478||483.82
26479||483.82
26480||550.05
26483||665.4
26485||616.81
26489||665.4
26490||574.61
26492||665.4
26494||725.75
26496||1124.12
26497||605.06
26498||907.32
26499||605.06
26500||443.24
26502||483.82
26508||501.98
26510||851.78
26516||476.88
26517||634.95
26518||756.19
26520||495.04
26525||498.78
26530||581.02
26531||608.79
26535||483.82
26536||580.49
26540||605.06
26541||713.46
26542||605.06
26545||483.82
26546||748.7
26548||531.36
26550||1764.96
26551||3534.19
26553||3496.28
26554||4083.18
26555||1741.46
26556||3700.28
26560||574.61
26561||725.75
26562||1086.74
26565||483.82
26567||463.54
26568||1209.04
26580||1523.05
26590||1581.25
26593||801.04
26600||199.14
26605||262.74
26607||583.16
26608||334.83
26615||423.48
26641||296.92
26645||330.03
26650||363.13
26665||605.06
26670||288.9
26675||317.75
26676||331.63
26685||365.82
26686||748.7
26700||199.73
26705||292.12
26706||255.8
26715||363.13
26720||105.69
26725||194.39
26727||312.94
26735||328.97
26740||127.1
26742||308.67
26746||323.61
26750||117.41
26755||183.7
26756||523.89
26765||259.01
26770||178.9
26775||276.62
26776||296.92
26785||260.6
26820||605.06
26841||485.43
26842||605.06
26843||516.94
26844||605.06
26850||472.08
26852||541.5
26860||380.76
26861||133.51
26862||506.26
26863||181.57
26910||487.57
26951||374.88
26952||445.91
26990||968.72
26991||429.89
26992||1392.21
27000||306.0
27001||358.33
27003||483.82
27005||473.68
27006||484.37
27025||605.06
27027||931.87
27030||846.97
27033||846.97
27035||1028.01
27036||1056.84
27040||195.98
27041||435.77
27047||736.95
27048||629.08
27049||1201.02
27050||363.13
27052||747.64
27054||1068.05
27060||302.26
27062||294.78
27065||339.11
27066||574.61
27067||1345.75
27070||669.66
27071||725.75
27075||1563.63
27076||1893.67
27077||2019.69
27078||1313.18
27080||363.13
27086||154.87
27087||773.8
27090||846.97
27091||969.25
27093||288.9
27095||296.39
27096||421.34
27097||857.11
27098||866.19
27100||907.32
27105||967.66
27110||1088.88
27111||1003.97
27120||1451.48
27122||1209.57
27125||1495.28
27130||2136.11
27134||2295.26
27137||1775.64
27140||725.75
27146||1451.48
27147||1702.48
27151||1518.77
27156||1814.63
27161||1209.57
27165||1451.48
27170||1362.31
27175||754.58
27176||1174.86
27177||1201.02
27178||1174.86
27179||967.66
27181||1281.67
27185||427.22
27187||1214.91
27200||208.27
27202||1411.44
27215||911.59
27216||667.0
27217||1045.09
27218||1173.8
27220||608.26
27222||556.99
27226||1164.72
27227||1401.82
27228||1483.0
27232||574.61
27235||1174.86
27236||1294.49
27238||351.3
27240||574.61
27244||1209.57
27245||1339.87
27246||530.83
27248||494.51
27250||316.93
27252||452.85
27253||1028.01
27254||1451.48
27256||214.83
27257||238.18
27258||1028.01
27259||1763.35
27265||499.31
27266||661.66
27275||132.44
27280||846.97
27282||1091.02
27284||1385.8
27286||1488.33
27290||1754.29
27295||1451.48
27301||505.2
27303||991.16
27305||363.13
27306||281.96
27307||320.95
27310||725.75
27323||180.5
27324||277.15
27327||551.66
27328||554.32
27329||1280.06
27330||640.83
27331||640.83
27332||751.38
27333||747.64
27334||907.85
27335||926.54
27340||302.26
27345||483.82
27347||394.12
27350||725.75
27355||665.4
27356||665.4
27357||846.97
27358||241.91
27360||666.47
27364||1842.93
27365||1473.92
27372||342.31
27380||665.4
27381||998.1
27385||738.03
27386||969.25
27390||363.13
27391||483.82
27392||725.75
27393||363.13
27394||483.82
27395||725.75
27396||854.44
27397||967.66
27400||869.39
27403||774.88
27405||826.67
27407||933.48
27409||1088.88
27418||967.66
27420||876.33
27422||887.02
27424||907.85
27425||483.82
27428||1220.79
27429||1376.72
27430||868.33
27435||846.97
27437||801.04
27438||1080.33
27440||907.32
27441||1068.05
27442||1281.67
27443||1114.51
27447||2136.11
27448||1020.53
27450||1149.23
27454||1209.57
27455||725.75
27457||846.97
27465||1209.57
27466||1475.51
27468||2136.11
27470||1209.57
27472||1391.14
27475||791.96
27477||900.9
27479||1082.47
27485||665.4
27487||2049.07
27488||1209.57
27496||367.41
27497||448.58
27498||511.59
27499||589.57
27500||495.05
27501||514.26
27502||513.2
27503||669.66
27506||1149.23
27507||1160.44
27508||369.01
27509||420.28
27510||483.82
27511||1148.7
27513||1294.49
27514||1209.57
27516||708.65
27517||471.54
27519||1003.97
27520||253.2
27524||725.75
27530||288.8
27532||358.87
27535||851.78
27536||846.97
27538||650.97
27540||846.97
27550||369.17
27552||377.02
27556||907.32
27557||907.32
27558||1233.07
27560||289.45
27562||273.43
27566||725.75
27570||111.61
27580||1209.57
27590||876.88
27591||1209.57
27592||846.97
27594||378.62
27596||1013.59
27598||846.97
27600||331.63
27601||622.14
27602||423.48
27603||859.78
27604||335.91
27605||253.13
27606||313.47
27607||586.9
27610||544.17
27612||605.06
27613||191.18
27614||376.49
27615||1240.54
27618||712.93
27619||529.22
27620||544.17
27625||725.75
27626||786.09
27630||371.68
27635||605.06
27637||786.09
27638||665.4
27640||725.75
27641||725.75
27645||1451.48
27646||1336.13
27647||1047.23
27648||229.63
27650||665.4
27652||846.97
27654||846.97
27656||411.2
27658||413.87
27659||483.82
27664||349.25
27665||453.39
27675||399.45
27676||417.61
27680||316.14
27681||363.13
27685||423.48
27686||423.48
27687||471.54
27690||483.82
27691||605.06
27692||121.22
27695||605.06
27696||799.43
27698||838.42
27700||796.24
27702||1330.79
27703||1312.63
27704||741.23
27705||725.75
27707||423.48
27709||846.97
27712||1088.88
27715||1292.88
27720||1088.88
27722||1099.02
27724||1330.79
27727||1245.35
27730||725.75
27732||467.8
27734||782.35
27740||1088.88
27742||1190.88
27745||1010.38
27750||265.35
27752||390.9
27756||725.75
27758||786.09
27759||1036.01
27760||253.79
27762||361.54
27766||544.17
27780||187.0
27781||601.85
27784||483.82
27786||249.47
27788||316.67
27792||544.17
27808||504.65
27810||359.4
27814||725.75
27816||262.45
27818||373.82
27822||1126.79
27823||1205.3
27824||272.35
27825||473.68
27826||1065.92
27827||1296.61
27828||1384.73
27829||783.96
27830||531.89
27831||452.32
27832||483.82
27840||244.31
27842||274.49
27846||725.75
27848||971.94
27860||134.58
27870||1028.01
27871||891.29
27880||725.75
27881||804.24
27882||634.95
27884||837.36
27886||890.76
