SVC_CD|Modifier_1|FEE|ASOFDATE
19306||1311.98|01-01-2023
19307||1264.97|01-01-2023
19316||866.87|01-01-2023
19318||1191.13|01-01-2023
19325||678.84|01-01-2023
19328||610.54|01-01-2023
19330||709.84|01-01-2023
19340||832.99|01-01-2023
19342||836.41|01-01-2023
19350||932.75|01-01-2023
19355||847.47|01-01-2023
19357||1280.71|01-01-2023
19361||1691.66|01-01-2023
19364||2935.14|01-01-2023
19367||1920.22|01-01-2023
19368||2343.6|01-01-2023
19369||2179.16|01-01-2023
19370||738.35|01-01-2023
19371||781.65|01-01-2023
19380||886.68|01-01-2023
19396||315.06|01-01-2023
20100||635.14|01-01-2023
20101||676.92|01-01-2023
20102||702.72|01-01-2023
20103||640.01|01-01-2023
20150||1090.48|01-01-2023
20200||251.12|01-01-2023
20205||346.53|01-01-2023
20206||264.39|01-01-2023
20220||274.22|01-01-2023
20225||450.69|01-01-2023
20240||149.33|01-01-2023
20245||366.24|01-01-2023
20250||422.67|01-01-2023
20251||457.03|01-01-2023
20500||140.65|01-01-2023
20501||169.18|01-01-2023
20520||248.19|01-01-2023
20525||535.64|01-01-2023
20526||91.51|01-01-2023
20527||97.9|01-01-2023
20550||64.35|01-01-2023
20551||64.35|01-01-2023
20552||59.07|01-01-2023
20553||68.37|01-01-2023
20555||363.9|01-01-2023
20560||29.25|01-01-2023
20561||42.39|01-01-2023
20600||59.07|01-01-2023
20604||93.0|01-01-2023
20605||61.47|01-01-2023
20606||100.6|01-01-2023
20610||71.88|01-01-2023
20611||112.19|01-01-2023
20612||72.22|01-01-2023
20615||289.45|01-01-2023
20650||256.78|01-01-2023
20660||250.8|01-01-2023
20661||574.97|01-01-2023
20662||580.99|01-01-2023
20663||536.67|01-01-2023
20664||966.49|01-01-2023
20665||133.18|01-01-2023
20670||419.37|01-01-2023
20680||681.42|01-01-2023
20690||650.65|01-01-2023
20692||1229.22|01-01-2023
20693||490.33|01-01-2023
20694||488.9|01-01-2023
20696||1276.75|01-01-2023
20697||2203.96|01-01-2023
20700||89.46|01-01-2023
20701||68.3|01-01-2023
20702||150.35|01-01-2023
20703||108.47|01-01-2023
20704||155.09|01-01-2023
20705||131.66|01-01-2023
20802||2945.9|01-01-2023
20805||3492.24|01-01-2023
20808||4203.14|01-01-2023
20816||2205.79|01-01-2023
20822||1913.81|01-01-2023
20824||2210.2|01-01-2023
20827||1964.38|01-01-2023
20838||2994.08|01-01-2023
20900||449.64|01-01-2023
20902||294.59|01-01-2023
20910||532.51|01-01-2023
20912||535.13|01-01-2023
20920||444.6|01-01-2023
20922||677.5|01-01-2023
20924||558.98|01-01-2023
20931||114.47|01-01-2023
20932||795.89|01-01-2023
20933||730.92|01-01-2023
20934||795.54|01-01-2023
20937||174.16|01-01-2023
20938||189.75|01-01-2023
20939||73.11|01-01-2023
20950||309.03|01-01-2023
